HARHA (%),LL (%),PL (%),PI (%),OMC (%),CA –,MDD (g/cm3),UCS (kN/m)
0,66,21,45,16,2,1.25,125
0.1,66,21,45,16,1.98,1.25,125
0.2,65.7,20.9,44.8,16.1,1.96,1.27,126
0.3,65.6,20.9,44.7,16.3,1.96,1.27,126
0.4,65.3,20.8,44.5,16.3,1.93,1.28,126
0.5,65,21,44,16.4,1.9,1.3,128
0.6,64.8,20.8,44,16.4,1.88,1.31,128
0.7,64.5,20.8,43.7,16.45,1.88,1.31,128
0.8,64.1,20.8,43.3,16.47,1.87,1.33,130
0.9,63.5,20.9,42.6,16.49,1.85,1.33,130
1,63,21,42,16.5,1.8,1.35,132
1.1,62.5,20.6,41.9,16.6,1.8,1.35,132
1.2,62.1,20.3,41.8,16.7,1.81,1.36,133
1.3,61.9,20.2,41.7,16.8,1.8,1.37,133
1.4,61.7,20.1,41.6,17,1.81,1.38,134
1.5,61.5,20,41.5,17.2,1.8,1.38,134
1.6,61.4,20,41.4,17.2,1.8,1.39,136
1.7,61.3,20,41.3,17.3,1.79,1.39,137
1.8,61.3,20.1,41.2,17.5,1.81,1.4,137
1.9,61.2,20.1,41.1,17.7,1.8,1.41,138
2,61,20,41,17.8,1.8,1.41,138
2.1,60.9,19.9,41,17.9,1.8,1.42,139
2.2,60.7,19.7,41,17.9,1.8,1.42,139
2.3,60.6,19.6,41,18,1.8,1.425,140
2.4,60.4,19.4,41,18.2,1.8,1.43,141
2.5,60,19,41,18.3,1.8,1.43,141
2.6,59.8,19,40.8,18.35,1.79,1.435,142
2.7,59.7,19.1,40.6,18.4,1.77,1.45,142
2.8,59.5,19.1,40.4,18.45,1.75,1.455,142
2.9,59.2,19,40.2,18.5,1.72,1.46,143
3,59,19,40,18.5,1.7,1.46,143
3.1,58.8,19.2,39.6,18.55,1.7,1.47,144
3.2,58.4,18.9,39.5,18.6,1.7,1.475,145
3.3,57.9,19.1,38.8,18.7,1.71,1.48,146
3.4,57.4,19,38.4,18.75,1.69,1.484,147
3.5,57,19,38,18.8,1.7,1.49,148
3.6,56.8,18.9,37.9,18.85,1.69,1.5,148
3.7,56.7,19,37.7,18.9,1.65,1.51,150
3.8,56.5,18.9,37.6,18.93,1.64,1.51,151
3.9,56.3,19,37.3,18.98,1.61,1.52,152
4,56,19,37,19,1.6,1.52,153
